"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","D1","Compensation of employees","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,998463,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,1026846,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,1026483,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,1069956,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,1126948,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,1174784,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,1161007,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2021","2021","CAD","Canadian Dollar","6","Millions",,,1269913,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,540026,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,569939,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,448079,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,485942,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,544254,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,554612,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,576989,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,633112,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,633955,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,638095,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,673326,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,722690,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,748500,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,655852,,
"CAN","Canada","P6","Exports of goods and services","C","Current prices","2021","2021","CAD","Canadian Dollar","6","Millions",,,775823,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,7573,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,7607,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,7311,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,7462,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,7973,,
"CAN","Canada","D11A_B","Agriculture, hunting and forestry; fishing (ISIC rev3)","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,8396,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,1473053,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,1555045,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,1469118,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,1559049,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,1662354,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,1710433,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,1781930,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,1867752,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,1856814,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,1886103,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,1991534,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,2083379,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,2158038,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,2071629,,
"CAN","Canada","B1G","Gross value added at basic prices, total activity","C","Current prices","2021","2021","CAD","Canadian Dollar","6","Millions",,,2335728,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,114803,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,111284,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,112629,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,119672,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,125665,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,129213,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,132793,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,139529,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,146270,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,151934,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,162308,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,168404,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,171793,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,159321,,
"CAN","Canada","D21S1","Taxes on products","C","Current prices","2021","2021","CAD","Canadian Dollar","6","Millions",,,181521,,
"CAN","Canada","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,863424,,
"CAN","Canada","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,902446,,
"CAN","Canada","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,904663,,
"CAN","Canada","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,949619,,
"CAN","Canada","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,991750,,
"CAN","Canada","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,1023606,,
"CAN","Canada","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,1064515,,
"CAN","Canada","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,1113079,,
"CAN","Canada","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,1150654,,
"CAN","Canada","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,1184619,,
"CAN","Canada","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,1241063,,
"CAN","Canada","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,1294162,,
"CAN","Canada","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,1336188,,
"CAN","Canada","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,1263777,,
"CAN","Canada","P31S14_S15","Households and Non-profit institutions serving households","C","Current prices","2021","2021","CAD","Canadian Dollar","6","Millions",,,1365155,,
"CAN","Canada","D2S1","Taxes on production and imports","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,185900,,
"CAN","Canada","D2S1","Taxes on production and imports","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,184820,,
"CAN","Canada","D2S1","Taxes on production and imports","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,187969,,
"CAN","Canada","D2S1","Taxes on production and imports","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,197523,,
"CAN","Canada","D2S1","Taxes on production and imports","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,205821,,
"CAN","Canada","D2S1","Taxes on production and imports","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,212452,,
"CAN","Canada","D2S1","Taxes on production and imports","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,219449,,
"CAN","Canada","D2S1","Taxes on production and imports","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,229447,,
"CAN","Canada","D2S1","Taxes on production and imports","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,240836,,
