"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,1628096,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,1594857,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,1698631,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,1795353,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,1862757,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,1932169,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,2013521,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,2040370,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,2071988,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,2188378,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,2279171,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2019","2019","CAD","Canadian Dollar","6","Millions",,,2347352,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2020","2020","CAD","Canadian Dollar","6","Millions",,,2259534,,
"CAN","Canada","P3_P5","Domestic demand","C","Current prices","2021","2021","CAD","Canadian Dollar","6","Millions",,,2511197,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","1993","1993","CAD","Canadian Dollar","6","Millions",,,396616,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","1994","1994","CAD","Canadian Dollar","6","Millions",,,407635,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","1995","1995","CAD","Canadian Dollar","6","Millions",,,421128,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","1996","1996","CAD","Canadian Dollar","6","Millions",,,431742,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","1997","1997","CAD","Canadian Dollar","6","Millions",,,456324,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","1998","1998","CAD","Canadian Dollar","6","Millions",,,480971,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","1999","1999","CAD","Canadian Dollar","6","Millions",,,507126,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2000","2000","CAD","Canadian Dollar","6","Millions",,,552023,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2001","2001","CAD","Canadian Dollar","6","Millions",,,574795,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2002","2002","CAD","Canadian Dollar","6","Millions",,,597153,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2003","2003","CAD","Canadian Dollar","6","Millions",,,621208,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2004","2004","CAD","Canadian Dollar","6","Millions",,,656758,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2005","2005","CAD","Canadian Dollar","6","Millions",,,693437,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2006","2006","CAD","Canadian Dollar","6","Millions",,,738263,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,783930,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,819727,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,812073,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,837683,,
